2.02869,525
2.13477,518
2.64769,514
4.23513,479
4.71062,477
5.27298,475
5.71476,473
5.93404,461
5.9501,457
5.96516,456
5.97333,454
6.00379,437
6.03726,436
6.09587,435
6.36811,434
7.44518,433
7.91641,431
8.48232,429
9.05025,427
10.5358,426
10.7283,425
11.0655,424
12.0528,423
12.2649,420
12.7202,419
13.2561,418
13.8926,401
14.3849,399
14.9601,393
15.4328,391
15.9963,389
17.7182,387
17.8147,385
18.2841,381
19.7099,380
20.6623,376
21.1477,366
26.1957,365
27.3393,363
32.4779,360
34.4639,359
35.8111,355
81.2674,353
104.849,352
128.438,350
128.463,348
131.591,338
131.616,336
136.578,334
136.665,332
138.828,324
139.446,322
145.563,318
146.558,316
157.421,315
160.116,314
243.049,313
245.071,311
