1.80383,358
1.8066,354
1.96423,352
2.05477,350
6.93706,349
7.9958,347
8.56927,346
8.84009,344
10.0738,338
10.1622,337
10.2194,336
11.3317,335
11.3702,334
11.8694,333
12.1308,332
13.295,331
14.9143,330
17.8558,329
20.7829,328
20.9023,327
25.3096,326
31.2595,325
32.74,324
33.3112,323
33.8653,320
41.6393,310
42.2988,307
42.3573,305
42.7496,303
43.0588,302
44.2435,301
44.3946,297
78.6124,293
78.9413,288
79.2946,285
79.9403,277
80.0369,276
80.1893,275
90.0105,273
91.5586,270
91.9217,268
92.8664,267
94.55,266
95.5125,265
97.2787,261
101.244,258
102.754,256
