2.04399,525
2.1507,518
2.70013,514
4.52905,479
5.01806,477
5.5973,475
6.08965,473
6.33156,461
6.34968,457
6.3669,456
6.37401,454
6.40183,437
6.43199,436
6.48794,435
6.79212,434
7.89738,433
8.36336,431
9.00617,429
9.65281,427
11.1435,426
11.3048,425
11.6186,424
12.6817,423
12.9103,420
13.4202,419
13.9918,418
14.6231,401
15.0643,399
15.5549,393
16.0253,391
16.6482,389
18.4368,387
18.541,385
19.0127,381
20.4356,380
21.3905,376
21.8798,366
27.0608,365
28.1567,363
33.1997,360
35.164,359
36.472,355
81.0379,353
