2.36228,416
3.16484,412
3.25613,411
3.32435,410
4.36409,409
7.00883,407
8.98872,406
9.85701,404
9.94544,402
10.0698,401
10.1778,398
10.3101,396
10.4473,395
10.6343,394
10.9,393
11.2927,392
11.5521,391
14.5382,390
14.7237,388
18.4676,383
19.5636,382
20.5498,378
21.5714,374
22.6363,371
23.5988,367
23.8439,364
24.1348,363
24.7173,358
25.5678,354
26.7865,353
27.0565,352
28.4774,350
28.7527,349
33.1931,343
33.2419,341
33.639,339
34.0399,337
34.6164,333
34.6631,331
38.5597,329
41.4431,326
44.1608,324
56.3946,323
57.0481,321
58.0975,320
60.7067,319
64.8458,318
66.4609,317
66.9626,316
72.395,315
85.5844,314
87.6873,313
92.324,312
104.706,311
106.497,310
122.497,308
123.37,306
123.451,304
126.134,303
140.3,302
162,301
176.988,300
177.893,299
201.395,298
221.227,297
222.139,296
240.593,295
